48	0	1589	0	0
49	2	3100	1	0
50	3	2652	2	0
51	1	1428	0	0
52	1	3311	1	0
53	2	2843	0	0
54	0	3238	0	0
55	0	1465	0	0
56	0	2205	0	0
57	0	3302	0	0
58	0	3310	0	0
59	0	3310	0	0
60	1	3105	1	0
61	0	3310	0	0
62	0	3099	0	0
63	2	1448	2	0
64	1	139	2	0
65	0	2261	0	0
66	0	2261	0	0
67	2	245	2	0
68	5	282	5	0
69	0	3238	0	0
70	3	3159	1	0
71	0	3310	0	0
72	0	2603	0	0
73	5	2206	1	0
74	1	3160	1	0
75	0	2645	0	0
76	0	3016	0	0
77	0	3231	0	0
78	1	3201	1	0
79	0	3151	0	0
80	0	3149	3	0
81	3	2857	1	0
82	2	3224	2	0
83	0	3279	0	0
84	3	238	5	0
85	2	3100	1	0
86	4	3106	4	0
87	2	1503	2	0
88	0	2642	0	0
89	4	3000	4	0
90	2	3239	1	0
91	5	163	5	0
92	0	2999	3	0
93	5	2675	5	0
94	0	2679	0	0
95	0	3310	0	0
96	0	1384	0	0
97	0	3310	0	0
98	1	211	1	0
99	4	2232	0	0
100	0	3237	0	0
101	0	1512	0	0
102	4	3242	0	0
103	1	3240	1	0
104	1	3311	1	0
105	1	1572	5	0
106	1	3108	1	0
107	5	2262	5	0
108	0	3287	0	0
109	2	3239	1	0
110	0	3265	0	0
111	0	2870	0	0
112	1	3242	0	0
113	4	1521	4	0
114	1	3304	1	0
115	1	3311	1	0
116	0	2999	3	0
117	4	2221	0	0
118	0	2315	0	0
119	0	3286	0	0
120	0	2316	4	0
121	1	3214	1	0
122	1	2643	1	0
123	3	3269	0	0
124	1	3100	1	0
125	0	3310	0	0
126	0	2208	0	0
127	3	3297	5	0
128	1	2197	1	0
129	3	2652	2	0
130	4	3186	0	0
131	1	2674	1	0
132	0	2639	0	0
133	0	2633	1	0
134	0	2304	4	0
135	1	3272	1	0
136	1	1544	1	0
137	1	3201	1	0
138	0	2880	0	0
140	0	3285	0	0
141	2	244	5	0
142	5	1498	5	0
143	2	3277	1	0
144	4	1460	4	0
145	0	3285	0	0
146	0	2215	0	0
147	2	2692	2	0
148	1	3294	1	0
149	0	3279	0	0
150	5	1548	1	0
151	3	3006	4	0
152	0	2315	0	0
153	4	1542	4	0
154	1	1370	1	0
155	1	3274	1	0
156	0	3310	0	0
157	0	3310	0	0
158	1	3105	1	0
159	5	3297	5	0
160	1	2197	1	0
161	2	3113	1	0
162	0	3269	0	0
164	1	2634	1	0
165	1	1447	1	0
166	4	167	4	0
168	5	169	5	0
170	0	2283	0	0
171	2	3008	2	0
172	0	3110	4	0
173	0	3241	0	0
174	1	3100	1	0
175	0	2843	0	0
176	5	2989	0	0
177	0	3285	0	0
178	4	2252	4	0
179	5	3161	1	0
180	1	1484	0	0
181	0	3310	0	0
182	1	2634	1	0
183	4	2302	4	0
184	4	3106	4	0
185	5	3154	5	0
186	1	3008	2	0
187	0	2612	0	0
188	2	3113	1	0
189	2	2854	0	0
190	2	2854	0	0
191	2	2692	2	0
192	0	3310	0	0
193	0	3310	0	0
194	0	2242	0	0
195	0	3310	0	0
196	3	2291	2	0
197	4	2300	4	0
198	0	2642	0	0
199	0	2992	0	0
200	3	225	5	0
201	1	3184	0	0
202	2	3239	1	0
203	4	1416	1	0
204	0	2670	0	0
205	1	3212	1	0
206	3	1500	3	0
207	5	3217	1	0
208	3	3006	4	0
209	0	2861	0	0
210	0	3288	0	0
212	5	3187	1	0
213	0	1524	0	0
214	4	3028	0	0
215	1	3100	1	0
216	1	2634	1	0
217	0	3310	0	0
218	4	3259	1	0
219	2	1461	1	0
220	0	1532	0	0
221	1	3234	1	0
222	0	3028	0	0
223	0	1533	0	0
224	0	3301	0	0
226	1	3100	1	0
227	0	2693	0	0
228	1	3262	1	0
229	0	1437	0	0
230	0	3242	0	0
231	0	3285	0	0
232	0	2880	0	0
233	0	3280	0	0
234	0	3310	0	0
235	5	1535	5	0
236	0	2992	0	0
237	2	239	1	0
240	0	3265	0	0
241	5	3280	0	0
242	3	243	3	0
246	0	2679	0	0
247	4	2252	4	0
248	2	1439	3	0
249	0	2616	0	0
250	3	3028	0	0
251	5	2602	5	0
252	5	3285	0	0
253	1	3277	1	0
254	1	256	1	0
255	0	2267	0	0
257	0	3288	0	0
258	0	2891	0	0
259	0	2879	0	0
260	1	3160	1	0
261	1	3311	1	0
262	0	2875	0	0
263	0	2608	0	0
264	0	2890	0	0
265	1	3115	2	0
266	0	3302	0	0
267	1	3214	1	0
268	3	1545	3	0
269	5	1390	5	0
270	5	1468	5	0
271	1	3298	1	0
272	1	3272	1	0
273	0	3110	4	0
274	2	1934	2	0
275	5	3047	5	0
276	0	1706	0	0
277	2	2366	2	0
278	1	578	1	0
279	2	2442	2	0
280	1	2228	1	0
281	5	1390	5	0
283	0	3286	0	0
284	0	2329	0	0
285	0	2332	0	0
286	1	3214	1	0
287	0	1922	5	0
288	4	1811	4	0
289	0	2777	4	0
290	5	2762	2	0
291	5	3069	5	0
292	2	1641	3	0
293	2	2772	2	0
294	5	3194	2	0
295	4	1680	1	0
